OverallStatus,StartDate,MaximumAge,MinimumAge,EnrollmentType,EnrollmentCount,DetailedDescription,BriefSummary
Recruiting,"May 3, 2016",,,Anticipated,5000,"The aim of this protocol is to allow genetic-related evaluations for patients with a variety of known or suspected genetic disorders, supplement and offer an additional opportunity for training in clinical genetics, dysmorphology and metabolic genetics in the National Institute of Child Health and Human Development (NICHD) and other Institutes of the National Institutes of Health (NIH). If not eligible for a specific NICHD research protocol, patients with genetic-related conditions may be evaluated under the auspices of this protocol to advance the clinical skills of physicians participating in NICHD clinical research and training programs, and to provide stimuli for new clinical research initiatives. Standard medically-indicated laboratory or radiological studies may be performed to confirm a diagnosis or to aid in the management of the patient. In some cases, the subjects may receive medical or surgical treatment for their disorder at the NIH CC according to current clinical practice. The overall purpose of genetic evaluations under this protocol is to support our clinical training and research missions. Family members of subjects evaluated on this protocol (who have informative meiotic inheritance relationships to the proband or index case) may also be enrolled.","Background: Some patients with unusual genetic conditions are referred to the National Institutes of Health (NIH). They may not be eligible to join current research studies. Testing such patients is a good way to improve the skills of research staff. The findings could lead to new processes and research.

Objectives:

To recruit a diverse group of pediatric subjects with genetic disorders. To give clinic staff hands-on experience working with these patients.

Eligibility:

Children any age with a known or suspected genetic disorder.

Design:

Participants will be screened with medical history and physical exam. They may have lab and other tests.

Family members may give DNA samples.

Participants will have:

Medical history

Physical exam

Height, weight, and other measurements taken.

A clinical evaluation of their disorder.

They may have:

Blood, urine, and saliva samples taken

Imaging tests. These may include x-rays, scans, ultrasound, or skeletal survey.

A sleep study

A visit with other specialists at NIH

A genetic test from a commercial lab

Medical photographs taken

Other tests

Participants may have follow-up visits. They may get medical or surgical treatment."
Not yet recruiting,"August 1, 2019",3 Years,,Anticipated,150,"The main objective of this study is to apply a well-established model of developmental surveillance (which evolved to characterize the outcomes of very low birth weight infants) to infants with genetic disorders. A novel clinical model for infants with rare genetic disorders has been created as a joint initiative between the Division of Newborn Medicine's NICU Growth and Developmental Support Programs (NICU GraDS) program and the Division of Genetics at Boston Children's Hospital (BCH). This study plans to enroll patients with genetic syndromes seen in this clinic into a prospective, longitudinal study in order to characterize their developmental profiles and needs. Related factors such as quality of life and parental stress will also be assessed which will complement the evaluation of the role of a ""developmental home"" for these high risk infants. It is also hypothesized that gaps in care - mismatches between services received and services indicated based upon the developmental evaluation - will be identified. The results of this study will be used to inform future research efforts utilizing targeted approaches to improve developmental outcomes.

For infants with rare genetic disorders, the aims are as follows:

Aim 1: Characterize physical and psychosocial development using standardized longitudinal assessments.

Aim 2: Identify developmental service needs, prescription, and utilization.

Aim 3: Assess parental stress and health-related quality of life.","The main objective of this study is to apply a well-established model of developmental surveillance (which evolved to characterize the outcomes of very low birth weight infants) to infants with genetic disorders. A novel clinical model for infants with rare genetic disorders has been created as a joint initiative between the Division of Newborn Medicine's NICU Growth and Developmental Support Programs (NICU GraDS) program and the Division of Genetics at Boston Children's Hospital (BCH). This study plans to enroll patients with genetic syndromes seen in this clinic into a prospective, longitudinal study in order to characterize their developmental profiles and needs."
Completed,October 1994,,,,1200,"Individuals and their families affected by disorders with a potentially genetic basis within six broad categories will be evaluated over time to characterize the natural and clinical history of various specific disorders. Medical and laboratory evaluations will be completed to identify areas of management concern that have not been previously described. Further protocols will be developed addressing specific disorders once a number of affected individuals have been investigated and is sufficient to query various aspects of those disorders. Issues for both diagnosis and medical management of those affected with certain genetic disorders will be collated and addressed within a national consensus conference format. In addition, phenotype to genotype correlation will be established to further understanding of specific molecular alterations on phenotypic expression. This broad-based protocol will also facilitate the training of fellows in medical genetics, graduate and post graduate training in genetics and genetic counseling.","This study will investigate the cause and natural history (medical problems that appear over time) of certain genetic disorders. It will also try to locate the abnormal genes responsible for these conditions and eventually develop tests to predict who is likely to be affected and to what degree.

Patients with known or suspected genetic disorders in certain categories, such as those involving chromosomal or metabolic abnormalities, immune system or blood disorders, abnormal growth, benign tumors, and others may be eligible for this study. Participants will be interviewed by specialists in genetics about their condition and family history. They may also be asked to have a physical examination and certain tests needed for study of the specific individual's condition. These may include collection of blood samples (up to 3 tablespoons); imaging studies, such as computerized tomography (CT), magnetic resonance imaging (MRI), ultrasound and echocardiography; skin biopsy (removal of a small sample of skin tissue under local anesthetic), and other procedures. DNA testing may reveal the genetic abnormality responsible for the disorder. Participants who so wish will have an opportunity to talk with experts about the health implications of the test results.

This study may provide information that will lead to improved treatment or management of these inherited disorders, as well as more effective genetic counseling for families."
Completed,"October 25, 2001",18 Years,,Actual,1090,"The aim of this protocol is to provide care for patients with a variety of rare genetic disorders, supplement and offer an additional opportunity for training in clinical genetics, dysmorphology and metabolic genetics in the National Institute of Child Health and Human Development (NICHD) and other Institutes of the National Institutes of Health (NIH), and spearhead the development of new research protocols on particular aspects of diagnosis and care for specific genetic diseases. Evaluations of patients with a broad spectrum of metabolic and genetic conditions will be performed. In addition, genetic counseling services will be offered to patients and their families to assess risk, and give information on preventive measures, and testing options. Disorders that will be studied include chromosomal and Mendelian disorders of childhood and/or adult onset, congenital anomalies and/or birth defects, dysmorphic syndromes, familial cancer syndromes, multifactorial disorders, and metabolic abnormalities. If not eligible for another NICHD research protocol (specific for a disease or a treatment), patients with genetic/metabolic-related conditions may be evaluated under the auspices of this protocol to advance the clinical skills of physicians participating in NICHD clinical research and training programs, and to provide stimuli for new clinical research initiatives. Standard, medically indicated laboratory or radiological studies may be performed to confirm a diagnosis or to aid in the management of the patient. In some cases, the patient will receive medical or surgical treatment for their disorder, according to current clinical practice. Patients and/or family members with genetic disorders may offer their DNA for storage and/or testing. The overall purpose of this protocol is to support our Institute s training and research missions by expanding the spectrum of diseases that can be seen in our clinics and wards.","This study will provide medical evaluations for patients with known or suspected metabolic and genetic disorders. It will allow NICHD investigators and trainees experience in diagnosing, managing, and treating patients with metabolic and genetic disorders who may not be eligible for an active NIH research trial. Participants in this protocol will only have tests and procedures used in the standard practice of medicine; there will be no experimental tests or treatments. Patients who are found eligible for an active research protocol will be offered participation in that study. The medical evaluations in this trial may uncover new disease processes that prompt new research initiatives.

People of all ages with a suspected or diagnosed genetic or metabolic condition may be eligible for this study. In addition, children with unexplained developmental delay, deafness, dysmorphism, congenital malformations, acidosis, failure to thrive, feeding problems, short stature, birth defects, and other syndromes of unknown cause may qualify.

Participants will have a medical history, including a family history, with possible review of previous medical records, and a physical examination. Other procedures may include:

Consultation with medical specialists.
Hearing and/or vision tests.
Imaging studies, such as X-rays, ultrasound and magnetic resonance imaging (MRI).
Blood drawing Blood samples (2 to 4 tablespoons from adults and 1 to 2 tablespoons from children) may be used for routine lab tests, genetic study, and other research purposes.
Cheek swab DNA may be obtained by a cheek swab. A small brush is rubbed against the inside of the cheek to collect some cells.
Skin biopsy Under local anesthetic, a small circle of skin (about 1/8-inch) is removed with a sharp cutting instrument similar to a cookie cutter.
Muscle biopsy Under local anesthetic, a small piece of muscle tissue is removed to aid in diagnosis.

Participants will undergo only diagnostic procedures that are clinically indicated; that is, only tests needed to confirm or rule out a diagnosis will be done. Tissue samples collected for diagnostic purposes may also be used to obtain DNA for genetic studies and to establish cell lines (cells grown in the laboratory to be maintained indefinitely) for future research.

The results of the medical evaluation may indicate whether or not the participant has the disease that runs in the family (if a genetic disorder is indeed confirmed). Unless he or she requests otherwise, the subject (and parent in the case of a minor) will receive counseling regarding the test results. The implications of a positive test result will be explained, specifically, the participant s risk of having the disease, and the risk of passing the condition on to offspring."
Completed,November 2007,2 Weeks,,Actual,1000,"Summary of Relevant Background Studies: Congenital anomalies play a major role in pediatric care. One of the leading causes of infant mortality in developed countries is the sequelae of these congenital anomalies. In some cases this exceeds the death rate for prematurity, SIDS, and other common causes of infant or neonatal death. The available tools for the assessment of a dysmorphic infant or child are based mainly on the experience of the examiner and his ability to translate findings and measurements from the physical examination to a qualitative and quantitative summary of accepted values plotted for the corresponding age (1,2). Various unusual features are expressed in qualitative terms such as short stature, long fingers, pear-shaped nose, small ears or other terms, which imply a comparison with other body proportions and the subjective impression of the examiner. Following that, an impression of the patient as a 'gestalt' is formed in the examiner's mind.

The databases and most of the written material are descriptive with scarce graphic and photographs, making the comparison of the phenotypic expression of the described subject with the one that needs to be diagnosed a difficult one. Even with the extensive existing data on objective measurements available to characterize a phenotype, many of the physicians involved in the diagnosis of a specific case will base part of their diagnosis on ""it looks like"" and put that impression in the context of other physical and laboratory findings.

Many syndromes in human pathology are recognized by their unique and distinctive facial and body characteristics. These stereotypic phenotypic characteristics are mostly reproducible using anthropometric measurements.

Charts are available for nor+mal data values of various morphometric variables (1,2). However, some of these figures can be accurately measured only on 3D structures (head, face). The following figure demonstrates the measurement of the angle of the palpebral fissure:

Fig. 1: An upward obliquity to the palpebral fissures is known as a mongoloid slant while downward obliquity is referred to as an antimongoloid slant. In order to obtain such measurements within the uterus a 3D configuration and appropriate image analysis is necessary (Figure from Ref. 2).

Fetal alcohol syndrome (FAS) is an example of a syndrome that underwent characterization by graphic data analysis methods (3). The prevalence of fetal alcohol syndrome (FAS) was determined in a foster care population and evaluated the performance of the FAS Facial Photographic Screening Tool. The authors concluded that the screening tool performed with very high accuracy and could be used to track FAS prevalence over time in foster care population to accurately assess the effectiveness of primary prevention. An expert can recognize facial characteristics and provide accurate analysis. Objective measurements could provide less experienced observers with tools that classify anatomical characteristics of different diseases and syndromes. Facial phenotypic patterns can be extracted from large databases of facial surfaces. These biometric measurements can be used for analysis when evaluated with respect to their ""normal"" values in the general population.

3- Methods of Study: Following approval of the Helsinki Committee, the project will be performed in several successive steps as follows: A. Newborn scanning: A database of 3D pictures (scans) of the face of newborn infants will be created. The scanning will be performed initially at the Carmel Medical Center, during their hospital stay. The examinees will be scanned one time, in order to build a database based on the data obtained from each scanned picture.

The facial anthropometric patterns of the obtained 3D pictures will be studied off-line using a computerized face pattern recognition system developed and used at the Faculty of Computer Sciences at the Technion. The measurements obtained will be compared to geometric anthropometric data already in use by medical geneticists and clinicians (1-9).

B. Hardware and software description:

3D Image Acquisition: Special hardware specially prepared in our department was developed for 3D image acquisition of newborn (see figure 2).

The hardware consists in:a structured light projector (DLP Projector Casio 350j,a digital video camera (PTGray Flea CCD Camera (Point Grey Research® Inc.( Black and white (640x480), Aluminum projector cage, Special medical stand with wheels,Personal Computer - Pentium 4 - XP,Flat screen 17"" with stand mount,Firewire cables,I/O cables.

Systems used for image acquisition: Currently there are two basic technologies. One is a laser scan, where a narrow laser generated light plane scans a face in vertical direction and the 3-D structure of the face is recovered based on the form of the light contour at the intersection between the light plane and the face surface.

The second method is based on the so-called structured light technology (regular light), where one or more specially designed light patterns are projected onto a face, and the 3D structure is recovered based on the position measurements of known pattern elements projections on the face.

Next, the range image is converted to a triangulated surface. The mesh can be possibly sub-sampled in order to decrease the amount of data. The choice of the number of sub-samples is a tradeoff between accuracy and computational complexity. Using this technique image acquisition and reconstruction takes about 2-3 seconds.

C. Morphometric parameters and their computation: In order to compute common morphometric parameters like inner and outer cantal distance, interpupillary distance, etc., there is a need to recognize various points of interest in the 3D face. This will be done using various pattern recognition algorithms. At the initial stage a manual procedure will be used to mark features on the projection of the facial surface.

Based on the results of the first phase automatic methods will be developed to detect features using statistical and algebraic algorithms. After having the relevant anchor points secured, simple 3D geometry will be used to compute common morphometric data. Parameters include outer canthal distance, interpupillary distance, palpebral fissure length, palpebral fissure angle, nasal-labial (philtrum) length, ear length, ear height, etc. The 3D data available can be used to try and search for other parameters that might be considered as statistically meaningful indicators.

Another avenue of research is to examine the importance of other metrics for distance estimation. One option is to check the contribution of geodesic distances as indicators. Geodesic distance is a distance map computed on the surface itself (Riemannian metric). A minimal geodesic path is the shortest path on the surface connecting two points.

An efficient method for computing the minimal geodesic distances on a triangulated domain was developed by Kimmel and Sethian (10). As the face is a deformable surface it is important to use such a representation for the facial surface that the measurements performed on it would be invariant to possible deformations (i.e. various facial expressions). In this case a bending invariant surface representation introduced by Elad and Kimmel will be used (11).

D. Statistical methods will be used for detecting the best independent significant morphometric variables which significantly correlate with the various syndromes: Discriminating scores will be constructed using the regression coefficients of the multivariate analysis tests and best cutoff points will be found, predicting between different genetic anomalies. Testing of the method and of the results will be done using a validation group of patients and healthy controls, by independent observers. The syndromatic examined newborn infants will be assessed by a geneticist and confirmation of the diagnosis will be made by laboratory tests when appropriate.

E. Statistical Power and number of patients: Many morphometrical variables will be assessed, based on our 3D reconstructing methods. Only after applying the multivariate analysis on the results, the relative diagnostic importance of each variable will be revealed. Thus, no single variable can be considered at this point, as an absolute discriminator between normal and abnormal value. However, if considering for example only one 3D morphometric variable, such as the degree of palpebral fissure slanting, in order to discriminate between ""Trisomy 21"" and ""normal"" in the Caucasian population, the following power analysis can be computed: The average and SD values of the slanting eye angle in ""normal"" is: 3.5 (degrees) ± 1.5. In a Trisomy 21 patient, there is an upward shift of this value. In order to detect a shift of more than 2 SD's (i.e. of more than 3 degree) and supposing that the SD will be larger than 3 degrees in the pathological population we need a minimal number of 21 patients and controls, in order to obtain a statistical power of 90%.

Total number of patients: Our purpose is to obtain scans from 800 newborn infants during the two year study period.","The hypothesis to be tested: After the construction of a database of anthropometric measurements, the system would extract important features of a given facial surface and be able to match it with existing morphometric figures. A given combination of normal and abnormal measurements will open a ""probable diagnosis"" and a list of ""differential diagnosis"" that will be expressed as percent of matching in a descendent order to the examiner."
Completed,"January 31, 2015",18 Years,,Actual,200,"Patients will be recruited from in- and outpatient clinics at the Otto Heubner Center, the Berlin Center for Rare Diseases, and the Institute for Medical Genetics and Human Genetics at Charité-Universitätsmedizin Berlin, Germany. Following informed consent, 5 ml EDTA blood will be obtained from the index case and 10 ml blood from each parent. Disease related phenotype information and the outcome of previous diagnostic tests and procedures will be recorded as part of Study visit #1.

[1] Study visit #1

A medical genetics physical will be performed. Detailed clinical symptoms (phenotype) will be recorded using Human Phenotype Ontology (HPO) terminology.
A detailed pedigree will be drawn.
Age of disease onset will be determined.
Results from previous diagnostic tests and procedures, as well as hospital stays, will be recorded.
The parents will be asked to complete a validated, standardized quality of life questionnaire adapted for for rare disease. The questionnaire is available online or in paper form.

[2] Study visit #2a (optional)

This study visit will only take place in the event that gene panel sequencing identifies a variant of uncertain significance, where additional information would be needed in order to determine its pathogenicity (e.g. confirmational biochemical testing, collection of additional information). Relevant research findings will be discussed and the nature and necessity of the additional testing will be explained.

[3] Study visit #2b (optional)

This study visit will only take place in the event that WGS identifies a variant of uncertain significance where additional information is needed in order to determine its pathogenicity > see Study visit #2a.

[4] Study visit #3 (results session)

Results will be returned in the context of a genetic counseling session.

[5] Study visit #4 (6 months after Study visit #3)

The parents will be asked to complete the validated, standardized quality of life questionnaire adapted for rare disease again.","The MENDEL-study will investigate whether the use of gene panel or whole genome sequencing (WGS) will:

improve the rate of diagnosis and through this compare the performance of the two diagnostic approaches (gene panel vs. WGS),
investigate whether use of said sequencing approaches early in the diagnostic process results in reduced health care spending, and
result in an improved quality of life for the patients and their parents."
Recruiting,"March 1, 2018",,3 Months,Anticipated,500,"The goal of this research protocol is to conduct a randomized clinical trial to assess the benefits and risks of incorporating whole genome sequencing (WGS) as a first line diagnostic test in various genetic and sub-specialty clinics within a large, tertiary medical center.

The investigators will enroll 500 participants within the Partners HealthCare system (e.g. Massachusetts General Hospital, Massachusetts Eye and Ear, etc.). The study will be enrolling from multiple genetics and sub-specialty clinics, including but not limited to: cardiology, GI cancer genetics, medical genetics, ataxia, endocrine genetics. Participants are eligible if their provider orders genetic testing for diagnosis of symptoms suspicious for a genetic disorder. Participants must not have had a genetic workup in the past.

At the time of enrollment, a small blood sample will be obtained at the time of the participant's blood draw for standard-of-care testing. All participants will be subject to 1:1 randomization, in which 250 will receive a WGS report, and 250 will be randomized to the arm that receives standard of care testing only. Any WGS report that is generated will be incorporated into the patient's electronic medical record.

For pediatric patients, the study team will attempt to collect blood samples from both biological parents when possible for trio analysis (WGS performed on the proband and both biological parents). The purpose of trio analysis is primarily for the purpose of interpreting the proband/child's results. For non-pediatric patients, saliva samples may be requested from living parents for confirmation purposes. No genetic testing reports will be generated for parents. The exception to this is if a parent of a pediatric patient (part of trio) opts to receive results from the ACMG 59 list.

The participants are blinded to the arm in which they are assigned until 3-4 months from the time of consent. At that time, a study genetic counselor will call the participant to disclose the randomization assignment. If the participant was randomized to receive a WGS report, a plan will be made to review the WGS either by phone, video conferencing, or in person. After reviewing the results, the research team will write a letter to the participant summarizing the results and any relevant medical management recommendations. This letter will also include a copy of their WGS report.

All participants (or their parents) will be surveyed at three points during their enrollment: baseline (at time of consent), immediately post-disclosure, and 6 months post-disclosure. The medical providers who offered the standard of care testing will also be surveyed.","The study ""Investigating the Feasibility and Implementation of Whole Genome Sequencing in Patients With Suspected Genetic Disorder"" is a research study that aims to explore the use of whole genome sequencing as a potential first line genetic test for patients for which a genetic diagnosis is suspected. This is an internally funded research study.

The investigators will enroll 500 participants who are being seen in one of the various genetics clinics within the Partners HealthCare system for a suspected genetic disorder for which standard-of-care genetic testing is ordered. At the time of their standard-of-care genetic testing, an extra blood sample will be collected, and genome sequencing may be performed. Within 3-4 months, patients learn if they received genome sequencing or not, and any results are returned and explained. Investigators are also studying the experiences of both participants and their providers to better understand how to implement genome sequencing into clinical care."
Completed,January 1994,,1 Year,Anticipated,25,"The trial proposed is a single armed phase II treatment protocol designed to examine the engraftment,toxicity and graft-versus-host disease following a novel cytoreductive regimen including cyclophosphamide and Busulfan for the treatment of patients with Severe Sickle Cell Anemia,Thalassemia, and Diamond Blackfan Anemia using stem cell transplants derived from HLA-genotypically identical siblings.

Patients will be conditioned for transplantation with cyclophosphamide (50 mg/kg/day x 4 days), and busulfan [(if < 4 years of age 1 mg/kg 4 times per day x 4 days), (if > 4 years of age 0.8 mg/kg 4 times per day x 4 days)]. Patients will receive Methotrexate & Cyclosporin-A for prophylaxis against GvHD and GCSF to promote engraftment.

The preferred source of stem cells from related HLA-matched related donors will be unmodified bone marrow stem cells.","The purpose of this study is to determine and confirm the role of bone marrow transplantation in the treatment of disorders of the red cell and hemoglobin including sickle cell anemia, thalassemia and diamond blackfan anemia."
Not yet recruiting,"November 1, 2018",120 Years,1 Year,Anticipated,3000,"Recent advances in biotechnology have shown that somatic cells (such as skin, blood and urine cells) from human adults and children can be reprogrammed to change their characteristics and become other types of cells that may be useful for disease modelling and drug screening. This includes the generation of induced pluripotent stem cells (iPS cells) which can be derived from these somatic cells by a process known as ""cellular reprogramming"". These iPSCs share many characteristics with embryonic stem cells, including an unlimited capacity for proliferation and the potential to differentiate into any cell of the body. However, unlike embryonic stem cells, the generation of iPSCs avoids the practical and ethical difficulties of obtaining embryonic tissues. Consequently, cellular reprogramming and iPSC technology has great implications in the field of disease modelling and drug screening.

Many obstacles must be overcome before iPSC based disease modelling and drug screening can fully be realised and allow replacement of inadequate animal models and simplistic cell models. This study will enable us to gather samples from a range of participants from different disease backgrounds, and to develop suitable panels of iPSCs for the purpose of protocol development. Development of robust protocols which are suitable for use across multiple iPSC lines and repeatable across multiple laboratories are essential for the use of iPSCs in disease modelling and drug screening. This study will allow us to look at causation of disease across a range of disease specific cell lines with known genetic backgrounds which are representative of a cohort of human patients. This is fundamental for development of iPSC based drug screening assays.","Recent advances have shown that cells from human blood, skin and urine samples can be reprogrammed to become stem cells. These are called induced Pluripotent Stem Cells (iPSCs) and share many characteristics with embryonic stem cells, including an unlimited capacity for proliferation and the potential to become any cell in the body. Beneficially, the use of iPSCs avoids the ethical difficulties which surround embryonic stem cells and allows generation of iPSC lines which are disease representative. For example, we could take skin samples from an individual diagnosed with Huntington's disease and their unaffected sibling and using this technology, generate iPSC lines from both individuals. Using these iPSCs, we could produce disease affected cell populations from the affected and unaffected individuals, use these cells to research why specific cell populations are affected by disease and test new treatments to combat disease progression, essentially producing a 'disease in a dish'. This is just one example of many for which this technology could be applied. We can also utilise gene-editing techniques to generate isogenic controls or insert disease related mutations to assess disease phenotype.

Although generation of iPSC lines has been robustly proven across multiple disease backgrounds, many aspects of their downstream use still remain to be determined. Particularly, robust protocols for directing iPSCs towards cell fates such as neurons or blood cells must be developed to fully realise application of iPSCs in disease modelling and drug screening.

This study involves the collection of human blood, skin or urine samples from subjects bearing a range of genetic diseases alongside those from individuals who have not been diagnosed with a disease, as controls. These samples will be used to generate iPSC lines for development of differentiation and disease phenotyping protocols."
Recruiting,"October 22, 2014",99 Years,,Anticipated,500,"This study is designed to evaluate patients with suspected or identified novel immune disorders, with a focus on abnormal immune homeostasis potentially due to defects in activation or apoptosis. Blood relatives of enrolled patients will also be evaluated. Affected individuals may have Mendelian gene defects involving mostly single or occasionally multiple genes. These patients may have signs and symptoms suggestive of clinically significant lymphocyte homeostasis disorders. However, some selected patients manifesting autoimmunity, autoinflammatory conditions, end-organ dysfunction, Epstein-Barr virus (EBV) and cytomegalovirus (CMV) viremia, frequent infections, allergies, or laboratory abnormalities consistent with immune defects of research interest to the Laboratory of Clinical Infectious Diseases may also be studied under this protocol at the discretion of the Investigators.

This protocol will facilitate the discovery of the role of genetic pathways and modes of inheritance associated with pathophysiological events leading to immune system dysregulation, particularly disorders of immune cell homeostasis. A better understanding of the genetics as well as biochemical and molecular basis of complex immune disorders could also lead to the development of novel therapeutic targets and approaches.

Patients will undergo clinical evaluations that include history and physical examinations, blood sampling, radiological exams, genetic testing, skin biopsy, and other medically indicated procedures. Genetically related family members of patients may also be evaluated or screened for clinical, in vitro, and genetic correlates of immune abnormalities. Patients and relatives unable or too sick to travel to NIH Clinical Center (CC) may be evaluated through mail-in blood samples. Patients and their relatives will remain enrolled on this study to observe the natural history of the disorder and obtain blood, saliva, skin biopsy, or other specimens at periodic intervals. This study aims to enroll up to a total of 500 patients and their family members.","Background:

- The immune system helps the body fight infection and disease. People with immune system problems can get infections, blood disorders, and other health problems. Researchers want to learn more about the immune system, like what causes it to not work properly.

Objectives:

- To evaluate people with certain types of immune system disorders.

Eligibility:

- Adults and children with an immune disorder or symptoms of one, and their relatives. Some disorders are not included in this study.

Design:

Researchers will review participants medical records.
Participants may mail in a blood or saliva sample, or be evaluated at the clinic. At the clinic, they may have a medical history, physical exam, blood tests, and imaging scans (with dye given through a needle in the arm). They may have genetic testing done on a sample of blood, saliva, hair, or nail clipping.
Participants may choose to have a skin biopsy. Up to 2 skin samples will be taken from their arm, back, or other area. A biopsy punch is inserted into the skin and rotated. A small circle of skin is removed.
Participants 10 and older may also choose to have leukapheresis. Blood is taken through a needle in one arm. It passes through a machine that separates the white blood cells. The rest of the blood is returned by needle in the other arm.
Researchers may recommend medicines, but no treatments are being studied.
Participants may be invited to return for visits over several years. At those visits, they may repeat some or all of the above tests. Or they may mail in blood or other samples. They may also send medical records."
